id,body,date,address
760,"2/2 &send to 8890.",1502256021811,SmartPadala
761,"09Aug 1256:Remittance of PHP2,000.00 & commission of PHP23.00 was added to your account.Avail Bal:PHP26,145.75.Ref:c5a1f4a7715d",1502254593879,SmartPadala
762,"2/2 Bal:PHP24,122.75",1502254121767,SmartPadala
763,"1/2 09Aug 1248:Remittance of PHP950.00 & commission of PHP11.50 was received from 639483326444.LIBRE ang pag-claim ng iyong customer.Ref:c5f9d159d7d7",1502254116150,SmartPadala
764,"09Aug 1223:Remittance of PHP525.00 & commission of PHP11.50 was added to your account.Avail Bal:PHP23,161.25.Ref:908550aff585",1502252592893,SmartPadala
765,"09Aug 1220: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:0d9c3e9db316",1502252447022,SmartPadala
766,"2/2 Bal:PHP22,624.75",1502248966742,SmartPadala
767,"1/2 09Aug 1122:Remittance of PHP500.00 & commission of PHP11.50 was received from 639295790816.LIBRE ang pag-claim ng iyong customer.Ref:165a527746b8",1502248956193,SmartPadala
768,"2/2 Bal:PHP22,113.25",1502248493742,SmartPadala
769,"1/2 09Aug 1114:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639471774383.LIBRE ang pag-claim ng iyong customer.Ref:00f7bf55b660",1502248489178,SmartPadala
770,"1/2 09Aug 1102:Remittance of PHP2,000.00 & commission of PHP23.00 was received from 639497272111.LIBRE ang pag-claim ng iyong customer.Ref:b29ce7efaf10",1502247733180,SmartPadala
771,"2/2 Bal:PHP21,101.75",1502247726255,SmartPadala
772,"2/2 Bal:PHP19,078.75",1502247711352,SmartPadala
773,"1/2 09Aug 1101:Remittance of PHP1,500.00 & commission of PHP17.25 was received from 639478309857.LIBRE ang pag-claim ng iyong customer.Ref:ef98ef650302",1502247705173,SmartPadala
774,"09Aug 1053: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:364dec0b6218",1502247209993,SmartPadala
775,"1/2 09Aug 1052:Sent PHP1,000.00 from ENCASHMENT to 557751******6100 at 639494623259.Ref:364dec0b6218.Sa next msg,i-type ang customer &receiver cellphone#",1502247164194,SmartPadala
776,"CONFIRM Ref:364dec0b6218
Customer Cellphone#:
Receiver Cellphone#:",1502247162587,SmartPadala
777,"09Aug 1052:Remittance of PHP1,000.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP41,237.05.Ref:364dec0b6218",1502247161801,SmartPadala
778,"2/2 &send to 8890.",1502247151051,SmartPadala
779,"09Aug 1042:Remittance of PHP1,000.00 & commission of PHP11.50 was added to your account.Avail Bal:PHP17,561.50.Ref:2e1440383165",1502246563945,SmartPadala
780,"2/2 Bal:PHP16,550.00",1502244450814,SmartPadala
781,"1/2 09Aug 1007:Remittance of PHP1,200.00 & commission of PHP17.25 was received from 639485813415.LIBRE ang pag-claim ng iyong customer.Ref:05f673ce4e75",1502244440158,SmartPadala
782,"1/2 09Aug 1000:Remittance of PHP800.00 & commission of PHP11.50 was received from 639087506041.LIBRE ang pag-claim ng iyong customer.Ref:a82b776cfc45",1502244046200,SmartPadala
783,"2/2 Bal:PHP15,332.75",1502244032457,SmartPadala
784,"1/2 09Aug 0953:Remittance of PHP1,930.00 & commission of PHP23.00 was received from 639997794805.LIBRE ang pag-claim ng iyong customer.Ref:aca9864c5862",1502243617193,SmartPadala
785,"2/2 Bal:PHP14,521.25",1502243604722,SmartPadala
786,"1/2 09Aug 0951:Remittance of PHP400.00 & commission of PHP11.50 was received from 639199733181.LIBRE ang pag-claim ng iyong customer.Ref:69bdf5634c7b",1502243496202,SmartPadala
787,"2/2 Bal:PHP12,568.25",1502243483719,SmartPadala
788,"09Aug 0949: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:1e3fab1c275e",1502243354934,SmartPadala
789,"CONFIRM Ref:1e3fab1c275e
Customer Cellphone#:
Receiver Cellphone#:",1502243283225,SmartPadala
790,"2/2 &send to 8890.",1502243273785,SmartPadala
791,"09Aug 0947:Remittance of PHP575.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP42,255.55.Ref:1e3fab1c275e",1502243272358,SmartPadala
792,"1/2 09Aug 0947:Sent PHP575.00 from ENCASHMENT to 557751******2100 at 639993563182.Ref:1e3fab1c275e.Sa next msg,i-type ang customer &receiver cellphone#",1502243261593,SmartPadala
793,"2/2 Bal:PHP12,156.75",1502242099232,SmartPadala
794,"1/2 09Aug 0928:Remittance of PHP7,400.00 & commission of PHP86.25 was received from 639478885355.LIBRE ang pag-claim ng iyong customer.Ref:756df82c03fe",1502242089110,SmartPadala
795,"1/2 09Aug 0911:Remittance of PHP500.00 & commission of PHP11.50 was received from 639184630077.LIBRE ang pag-claim ng iyong customer.Ref:89be3775ab09",1502241101647,SmartPadala
796,"2/2 Bal:PHP4,670.50",1502241089659,SmartPadala
797,"1/2 09Aug 0857:Remittance of PHP620.00 & commission of PHP11.50 was received from 639496175981.LIBRE ang pag-claim ng iyong customer.Ref:1b73d7a24f15",1502240283175,SmartPadala
798,"2/2 Bal:PHP4,159.00",1502240267711,SmartPadala
799,"09Aug 0849: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:901ee449ec8e",1502239765070,SmartPadala
800,"1/2 09Aug 0848:Sent PHP400.00 from ENCASHMENT to 529967******5105 at 639293343721.Ref:901ee449ec8e.Sa next msg,i-type ang customer &receiver cellphone#",1502239748239,SmartPadala
801,"2/2 &send to 8890.",1502239736002,SmartPadala
802,"CONFIRM Ref:901ee449ec8e
Customer Cellphone#:
Receiver Cellphone#:",1502239727292,SmartPadala
803,"09Aug 0848:Remittance of PHP400.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP42,849.05.Ref:901ee449ec8e",1502239722384,SmartPadala
804,"1/2 09Aug 0841:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639493212177.LIBRE ang pag-claim ng iyong customer.Ref:75f034b6c200",1502239296163,SmartPadala
805,"2/2 Bal:PHP3,527.50",1502239288738,SmartPadala
806,"09Aug 0814: Sent PHP500.00 from ENCASHMENT to 529967******3102 at 639108809065. Ref.d8272a7d3c7d",1502237706727,SmartPadala
807,"09Aug 0814:Remittance of PHP500.00 & fee of PHP3.50 was deducted from your account.Avail bal:PHP43,267.55.Ref:d8272a7d3c7d",1502237694928,SmartPadala
808,"1/2 09Aug 0809:Remittance of PHP370.00 & commission of PHP11.50 was received from 639289175150.LIBRE ang pag-claim ng iyong customer.Ref:c5071c231ffa",1502237358964,SmartPadala
809,"2/2 Bal:PHP2,516.00",1502237349712,SmartPadala
810,"1/2 09Aug 0804:Remittance of PHP500.00 & commission of PHP11.50 was received from 639291202232.LIBRE ang pag-claim ng iyong customer.Ref:41f677a13f42",1502237078735,SmartPadala
811,"2/2 Bal:PHP2,134.50",1502237068713,SmartPadala
812,"09Aug 0759: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:0d9c3e9db316",1502236754516,SmartPadala
813,"2/2 &send to 8890.",1502236722738,SmartPadala
814,"1/2 09Aug 0758:Sent PHP500.00 from ENCASHMENT to 529967******7100 at 639393925121.Ref:0d9c3e9db316.Sa next msg,i-type ang customer &receiver cellphone#",1502236720136,SmartPadala
815,"CONFIRM Ref:0d9c3e9db316
Customer Cellphone#:
Receiver Cellphone#:",1502236704233,SmartPadala
816,"09Aug 0758:Remittance of PHP500.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP43,771.05.Ref:0d9c3e9db316",1502236693824,SmartPadala
817,"1/2 09Aug 0756:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639491206555.LIBRE ang pag-claim ng iyong customer.Ref:a8b64a756c72",1502236619161,SmartPadala
818,"2/2 Bal:PHP1,623.00",1502236613800,SmartPadala
819,"09Aug 0642:Remittance of PHP600.00 & commission of PHP11.50 was received from 639284917439.LIBRE ang pag-claim ng iyong customer.Ref:1ac372f16b68 Bal:PHP611.50",1502232182170,SmartPadala
820,"08Aug 1919: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:529051e5fcba",1502191180985,SmartPadala
821,"08Aug 1916:Remittance of PHP1,020.00 & commission of PHP17.25 was added to your account.Avail Bal:PHP20,425.00.Ref:8ab7a667c0c3",1502191010886,SmartPadala
822,"2/2 Bal:PHP19,387.75",1502190578876,SmartPadala
823,"1/2 08Aug 1909:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639202430000.LIBRE ang pag-claim ng iyong customer.Ref:d7738135bd97",1502190568371,SmartPadala
824,"08Aug 1908: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:58753e36cc79",1502190514784,SmartPadala
825,"2/2 &send to 8890.",1502190230525,SmartPadala
826,"1/2 08Aug 1903:Sent PHP500.00 from ENCASHMENT to 529967******4100 at 639994399962.Ref:58753e36cc79.Sa next msg,i-type ang customer &receiver cellphone#",1502190228170,SmartPadala
827,"CONFIRM Ref:58753e36cc79
Customer Cellphone#:
Receiver Cellphone#:",1502190212226,SmartPadala
828,"08Aug 1903:Remittance of PHP500.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP44,289.55.Ref:58753e36cc79",1502190202171,SmartPadala
829,"08Aug 1829: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:f0efbaf8cdbb",1502188174945,SmartPadala
830,"08Aug 1826:Remittance of PHP400.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP44,808.05.Ref:f0efbaf8cdbb",1502188029706,SmartPadala
831,"1/2 08Aug 1826:Sent PHP400.00 from ENCASHMENT to 529967******1112 at 639463188522.Ref:f0efbaf8cdbb.Sa next msg,i-type ang customer &receiver cellphone#",1502188026215,SmartPadala
832,"CONFIRM Ref:f0efbaf8cdbb
Customer Cellphone#:
Receiver Cellphone#:",1502188011245,SmartPadala
833,"2/2 &send to 8890.",1502188001778,SmartPadala
834,"08Aug 1823: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:2748886558c6",1502187802080,SmartPadala
835,"2/2 &send to 8890.",1502187679825,SmartPadala
836,"CONFIRM Ref:2748886558c6
Customer Cellphone#:
Receiver Cellphone#:",1502187669569,SmartPadala
837,"08Aug 1820:Remittance of PHP400.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP45,226.55.Ref:2748886558c6",1502187669097,SmartPadala
838,"1/2 08Aug 1820:Sent PHP400.00 from ENCASHMENT to 557751******5107 at 639288395094.Ref:2748886558c6.Sa next msg,i-type ang customer &receiver cellphone#",1502187658693,SmartPadala
839,"08Aug 1736: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:a68ca70338c7",1502185008983,SmartPadala
840,"2/2 Bal:PHP18,376.25",1502184999815,SmartPadala
841,"1/2 08Aug 1736:Remittance of PHP1,100.00 & commission of PHP17.25 was received from 639498721000.LIBRE ang pag-claim ng iyong customer.Ref:ae8b0683d7e1",1502184995564,SmartPadala
842,"CONFIRM Ref:a68ca70338c7
Customer Cellphone#:
Receiver Cellphone#:",1502184933342,SmartPadala
843,"08Aug 1735:Remittance of PHP1,500.00 & fee of PHP27.75 was deducted from your account.Avail bal:PHP45,645.05.Ref:a68ca70338c7",1502184920539,SmartPadala
844,"2/2 &send to 8890.",1502184916777,SmartPadala
845,"1/2 08Aug 1735:Sent PHP1,500.00 from ENCASHMENT to 529967******5106 at 639081018147.Ref:a68ca70338c7.Sa next msg,i-type ang customer &receiver cellphone#",1502184912224,SmartPadala
846,"1/2 08Aug 1723:Remittance of PHP400.00 & commission of PHP11.50 was received from 639215179833.LIBRE ang pag-claim ng iyong customer.Ref:3dd19b2e4e31",1502184217294,SmartPadala
847,"2/2 Bal:PHP17,259.00",1502184203712,SmartPadala
848,"2/2 Bal:PHP16,847.50",1502184087805,SmartPadala
849,"1/2 08Aug 1721:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639076473741.LIBRE ang pag-claim ng iyong customer.Ref:ac296211491e",1502184078160,SmartPadala
850,"2/2 Bal:PHP15,836.00",1502183668781,SmartPadala
851,"1/2 08Aug 1714:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639086167741.LIBRE ang pag-claim ng iyong customer.Ref:0a3a1f335f1a",1502183664152,SmartPadala
852,"08Aug 1711: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:529051e5fcba",1502183493923,SmartPadala
853,"2/2 &send to 8890.",1502183457784,SmartPadala
854,"1/2 08Aug 1710:Sent PHP2,000.00 from ENCASHMENT to 557751******0106 at 639212422387.Ref:529051e5fcba.Sa next msg,i-type ang customer &receiver cellphone#",1502183449820,SmartPadala
855,"CONFIRM Ref:529051e5fcba
Customer Cellphone#:
Receiver Cellphone#:",1502183437723,SmartPadala
856,"08Aug 1710:Remittance of PHP2,000.00 & fee of PHP37.00 was deducted from your account.Avail bal:PHP47,172.80.Ref:529051e5fcba",1502183433165,SmartPadala
857,"08Aug 1622:Remittance of PHP550.00 & commission of PHP11.50 was added to your account.Avail Bal:PHP14,824.50.Ref:dddc0905ea82",1502180555124,SmartPadala
858,"1/2 08Aug 1616:Remittance of PHP500.00 & commission of PHP11.50 was received from 639499624758.LIBRE ang pag-claim ng iyong customer.Ref:61f712f7bf6b",1502180192204,SmartPadala
859,"2/2 Bal:PHP14,263.00",1502180182252,SmartPadala
860,"08Aug 1459: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:998ed2dd475e",1502175601741,SmartPadala
861,"2/2 Bal:PHP13,751.50",1502175548392,SmartPadala
862,"CONFIRM Ref:998ed2dd475e
Customer Cellphone#:
Receiver Cellphone#:",1502175546043,SmartPadala
863,"1/2 08Aug 1458:Sent PHP130.00 from ENCASHMENT to 529967******9108 at 639395383628.Ref:998ed2dd475e.Sa next msg,i-type ang customer &receiver cellphone#",1502175543213,SmartPadala
864,"2/2 &send to 8890.",1502175542588,SmartPadala
865,"1/2 08Aug 1458:Remittance of PHP400.00 & commission of PHP11.50 was received from 639395985290.LIBRE ang pag-claim ng iyong customer.Ref:ea06bee5f6ca",1502175533242,SmartPadala
866,"08Aug 1458:Remittance of PHP130.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP49,209.80.Ref:998ed2dd475e",1502175524882,SmartPadala
867,"2/2 Bal:PHP13,340.00",1502175440927,SmartPadala
868,"1/2 08Aug 1457:Remittance of PHP5,000.00 & commission of PHP57.50 was received from 639184227344.LIBRE ang pag-claim ng iyong customer.Ref:31d6df0c0e04",1502175431197,SmartPadala
869,"2/2 Bal:PHP8,282.50",1502172137460,SmartPadala
870,"1/2 08Aug 1402:Remittance of PHP500.00 & commission of PHP11.50 was received from 639474783040.LIBRE ang pag-claim ng iyong customer.Ref:d2ce44aba372",1502172128644,SmartPadala
871,"1/2 08Aug 1340:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639288620709.LIBRE ang pag-claim ng iyong customer.Ref:4add1af1dc36",1502170834448,SmartPadala
872,"2/2 Bal:PHP7,771.00",1502170819730,SmartPadala
873,"1/2 08Aug 1304:Remittance of PHP300.00 & commission of PHP11.50 was received from 639295960051.LIBRE ang pag-claim ng iyong customer.Ref:d7bc3a0e149c",1502168666669,SmartPadala
874,"2/2 Bal:PHP6,759.50",1502168651707,SmartPadala
875,"1/2 08Aug 1256:Remittance of PHP200.00 & commission of PHP11.50 was received from 639193566277.LIBRE ang pag-claim ng iyong customer.Ref:00a5e5c7d560",1502168177670,SmartPadala
876,"2/2 Bal:PHP6,448.00",1502168163299,SmartPadala
877,"1/2 08Aug 1248:Remittance of PHP500.00 & commission of PHP11.50 was received from 639496995888.LIBRE ang pag-claim ng iyong customer.Ref:6c0f0c4fb601",1502167708288,SmartPadala
878,"2/2 Bal:PHP6,236.50",1502167699188,SmartPadala
879,"2/2 Bal:PHP5,725.00",1502163330752,SmartPadala
880,"1/2 08Aug 1135:Remittance of PHP500.00 & commission of PHP11.50 was received from 639996728181.LIBRE ang pag-claim ng iyong customer.Ref:49cd7923c624",1502163320154,SmartPadala
881,"2/2 Bal:PHP5,213.50",1502154245801,SmartPadala
882,"1/2 08Aug 0903:Remittance of PHP300.00 & commission of PHP11.50 was received from 639491206555.LIBRE ang pag-claim ng iyong customer.Ref:30733d53a9b2",1502154236127,SmartPadala
883,"1/2 08Aug 0853:Remittance of PHP140.00 & commission of PHP11.50 was received from 639397567399.LIBRE ang pag-claim ng iyong customer.Ref:321392bf1334",1502153643313,SmartPadala
884,"2/2 Bal:PHP4,902.00",1502153633434,SmartPadala
885,"1/2 08Aug 0834:Remittance of PHP300.00 & commission of PHP11.50 was received from 639071300124.LIBRE ang pag-claim ng iyong customer.Ref:347aa34eb43c",1502152460230,SmartPadala
886,"2/2 Bal:PHP4,750.50",1502152444819,SmartPadala
887,"1/2 08Aug 0828:Remittance of PHP1,650.00 & commission of PHP23.00 was received from 639083124407.LIBRE ang pag-claim ng iyong customer.Ref:f3febc13cfa1",1502152125323,SmartPadala
888,"2/2 Bal:PHP4,439.00",1502152113700,SmartPadala
889,"1/2 08Aug 0812:Remittance of PHP520.00 & commission of PHP11.50 was received from 639394400094.LIBRE ang pag-claim ng iyong customer.Ref:b733ff3beadd",1502151186242,SmartPadala
890,"2/2 Bal:PHP2,766.00",1502151172685,SmartPadala
891,"2/2 Bal:PHP2,234.50",1502150598997,SmartPadala
892,"1/2 08Aug 0803:Remittance of PHP400.00 & commission of PHP11.50 was received from 639479290673.LIBRE ang pag-claim ng iyong customer.Ref:e9ed04f65c1b",1502150589129,SmartPadala
893,"2/2 Bal:PHP1,823.00",1502149713846,SmartPadala
894,"1/2 08Aug 0748:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639085813018.LIBRE ang pag-claim ng iyong customer.Ref:9cbbe5a85fe6",1502149709322,SmartPadala
895,"08Aug 0728:Remittance of PHP420.00 & fee of PHP3.50 was deducted from your account.Avail bal:PHP49,358.30.Ref:2714292e7265",1502148541961,SmartPadala
896,"08Aug 0728: Sent PHP420.00 from ENCASHMENT to 529967******0102 at 639995296809. Ref.2714292e7265",1502148527178,SmartPadala
897,"08Aug 0642:Remittance of PHP800.00 & commission of PHP11.50 was received from 639085695826.LIBRE ang pag-claim ng iyong customer.Ref:5d574ea28927 Bal:PHP811.50",1502145730154,SmartPadala
898,"2/2 Bal:PHP25,500.25",1502107597796,SmartPadala
899,"1/2 07Aug 2006:Remittance of PHP515.00 & commission of PHP11.50 was received from 639212177746.LIBRE ang pag-claim ng iyong customer.Ref:fab7186278ad",1502107594174,SmartPadala
900,"07Aug 1914: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:74f0302f4129",1502104473558,SmartPadala
901,"CONFIRM Ref:74f0302f4129
Customer Cellphone#:
Receiver Cellphone#:",1502104433355,SmartPadala
902,"2/2 &send to 8890.",1502104417788,SmartPadala
903,"1/2 07Aug 1913:Sent PHP300.00 from ENCASHMENT to 557751******6105 at 639217197821.Ref:74f0302f4129.Sa next msg,i-type ang customer &receiver cellphone#",1502104408537,SmartPadala
904,"07Aug 1913:Remittance of PHP300.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP49,781.80.Ref:74f0302f4129",1502104391403,SmartPadala
905,"2/2 Bal:PHP24,973.75",1502104018737,SmartPadala
906,"1/2 07Aug 1906:Remittance of PHP500.00 & commission of PHP11.50 was received from 639294076297.LIBRE ang pag-claim ng iyong customer.Ref:07f47b8937ed",1502104010514,SmartPadala
907,"2/2 Bal:PHP24,462.25",1502102981832,SmartPadala
908,"1/2 07Aug 1849:Remittance of PHP500.00 & commission of PHP11.50 was received from 639995883388.LIBRE ang pag-claim ng iyong customer.Ref:316a0a6c2b5a",1502102971168,SmartPadala
909,"07Aug 1843: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:b5af117d63de",1502102631970,SmartPadala
910,"CONFIRM Ref:b5af117d63de
Customer Cellphone#:
Receiver Cellphone#:",1502102600877,SmartPadala
911,"1/2 07Aug 1842:Sent PHP300.00 from ENCASHMENT to 529967******0112 at 639074471427.Ref:b5af117d63de.Sa next msg,i-type ang customer &receiver cellphone#",1502102596263,SmartPadala
912,"07Aug 1842:Remittance of PHP300.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP50,100.30.Ref:b5af117d63de",1502102580975,SmartPadala
913,"2/2 &send to 8890.",1502102574186,SmartPadala
914,"1/2 07Aug 1834:Remittance of PHP1,500.00 & commission of PHP17.25 was received from 639072096232.LIBRE ang pag-claim ng iyong customer.Ref:50bbc7e4efa9",1502102083051,SmartPadala
915,"2/2 Bal:PHP23,950.75",1502102069249,SmartPadala
916,"07Aug 1819:Remittance of PHP2,125.00 & commission of PHP28.75 was added to your account.Avail Bal:PHP22,433.50.Ref:4682733a80bb",1502101201901,SmartPadala
917,"2/2 Bal:PHP20,279.75",1502099625821,SmartPadala
918,"1/2 07Aug 1753:Remittance of PHP1,500.00 & commission of PHP17.25 was received from 639287982833.LIBRE ang pag-claim ng iyong customer.Ref:5eb6c21ed8f8",1502099615120,SmartPadala
919,"1/2 07Aug 1745:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639202098838.LIBRE ang pag-claim ng iyong customer.Ref:b29586ab1600",1502099160965,SmartPadala
920,"2/2 Bal:PHP18,762.50",1502099151719,SmartPadala
921,"2017-08-07 17:34:44: Received PHP50,000.00 from BDO w/commission kung ikaw ay Smart Padala Agent.LIBRE ang pag-claim ni suki! Ref:94051880e4cb Bal: PHP50418.80. Para malaman ang iyong komisyon, i-check ang balance sa Smart Money menu.",1502098492272,SMARTMoney
922,"1/2 07Aug 1726:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639984362223.LIBRE ang pag-claim ng iyong customer.Ref:d32948604d36",1502097998300,SmartPadala
923,"2/2 Bal:PHP17,751.00",1502097984764,SmartPadala
924,"1/2 07Aug 1724:Remittance of PHP450.00 & commission of PHP11.50 was received from 639475333933.LIBRE ang pag-claim ng iyong customer.Ref:0d8563aa6866",1502097860398,SmartPadala
925,"2/2 Bal:PHP16,739.50",1502097845725,SmartPadala
926,"1/2 07Aug 1641:Remittance of PHP1,250.00 & commission of PHP17.25 was received from 639394409615.LIBRE ang pag-claim ng iyong customer.Ref:fbaf2b65bdd3",1502095308299,SmartPadala
927,"2/2 Bal:PHP16,278.00",1502095294710,SmartPadala
928,"07Aug 1629:Remittance of PHP500.00 & commission of PHP11.50 was added to your account.Avail Bal:PHP15,010.75.Ref:08d0bf37115e",1502094557406,SmartPadala
929,"2/2 Bal:PHP14,499.25",1502087271815,SmartPadala
930,"1/2 07Aug 1427:Remittance of PHP470.00 & commission of PHP11.50 was received from 639205497068.LIBRE ang pag-claim ng iyong customer.Ref:ef753ab15d79",1502087262228,SmartPadala
931,"1/2 07Aug 1426:Remittance of PHP250.00 & commission of PHP11.50 was received from 639497269836.LIBRE ang pag-claim ng iyong customer.Ref:607b62573db6",1502087232419,SmartPadala
932,"2/2 Bal:PHP14,017.75",1502087220177,SmartPadala
933,"1/2 07Aug 1418:Remittance of PHP1,000.00 & commission of PHP11.50 was received from 639196688304.LIBRE ang pag-claim ng iyong customer.Ref:21bde88405a5",1502086739223,SmartPadala
934,"2/2 Bal:PHP13,756.25",1502086725940,SmartPadala
935,"1/2 07Aug 1416:Remittance of PHP300.00 & commission of PHP11.50 was received from 639294076297.LIBRE ang pag-claim ng iyong customer.Ref:32f6871e6c88",1502086587410,SmartPadala
936,"2/2 Bal:PHP12,744.75",1502086574716,SmartPadala
937,"1/2 07Aug 1342:Remittance of PHP300.00 & commission of PHP11.50 was received from 639993388388.LIBRE ang pag-claim ng iyong customer.Ref:6abb84e7ab6d",1502084575928,SmartPadala
938,"2/2 Bal:PHP12,433.25",1502084561809,SmartPadala
939,"07Aug 1320: We have sent a text message to your customer on the Smart Padala transaction details. Thank you! Ref:7b1f4c113124",1502083251992,SmartPadala
940,"CONFIRM Ref:7b1f4c113124
Customer Cellphone#:
Receiver Cellphone#:",1502082981424,SmartPadala
941,"07Aug 1315:Remittance of PHP200.00 & fee of PHP18.50 was deducted from your account.Avail bal:PHP418.80.Ref:7b1f4c113124",1502082966128,SmartPadala
942,"1/2 07Aug 1315:Sent PHP200.00 from ENCASHMENT to 529967******2103 at 639996820476.Ref:7b1f4c113124.Sa next msg,i-type ang customer &receiver cellphone#",1502082958660,SmartPadala
943,"2/2 &send to 8890.",1502082943227,SmartPadala
944,"2/2 Bal:PHP12,121.75",1502081037499,SmartPadala
